标题,链接,排名,反链数,简介
北京中医药大学,/site_www.bucm.edu.cn.html,168235,270,网站简介： 北京中医药大学是一所以中医药学为主干学科的全国重点大学，是唯一进入国家“211工程”建设的高等中医药院校，也是国家“985优势学科创新平台”建设高校，直属教育部管理，...
广西医科大学,/Html/site_gxmu.edu.cn.html,949003,228,网站简介：广西医科大学创建于1934年11月21日，坐落在具有“绿城”之称的广西壮族自治区首府南宁市，校本部占地面积71万多平方米。前身是广西省立医学院。1940年校址迁至桂林。1949年...
优达学城,/site_www.udacity.com.html,2230,41,网站简介：udacity是来自硅谷的前沿技术平台，为广大学子提供web前端开发、python/java编程、ios/android开发、人工智能开发等一系列在线课程及实战项目，满足学员灵活的学习需求...
成语大全,/site_chengyu.aies.cn.html,5389,3,网站简介：本成语大全(又称成语词典/成语字典)收录成语3万多条，提供成语解释、成语用法、成语出处、成语歇后语、成语谜语、成语故事、成语接龙、近义词、反义词等查询。...
职业培训教育网,/Html/site_chinatat.com.html,1898148,1532,"网站简介：职业培训教育网--大型职业培训考试网站，常年开设公务员,经济师,职称英语,职称计算机,招标师,人力资源管理师,心理咨询师,注册消防工程师等国家职业资格考试网上辅导培训，高..."
哈尔滨工业大学（威海）,/site_www.hitwh.edu.cn.html,47155,39,网站简介：哈尔滨工业大学（威海）创建于1985年，隶属于工业和信息化部，作为哈尔滨工业大学的一校区，是国家首批“985工程”和“211工程”高校之一。哈工大坚持立足航天、服务国防，...
黑龙江中医药大学,/Html/site_hljucm.net.html,269429,59,网站简介：黑龙江中医药大学始建于1954年，经六十年的建设与发展，学校已成为具有较高教学、科研、医疗水平，在国内外有一定影响的高等中医药院校，现为黑龙江省重点建设的高水平大学...
百分百考试网,/Html/site_100ksw.com.html,888559,271,网站简介：百分百考试网：专业考试网站，提供医学考试、会计考试、建造师考试、司法考试、职称英语、职称计算机等各类考试试题下载及网校视频课程。...
河北单招网,/Html/site_hbdzxx.com.html,171484,11,网站简介：河北单招网服务与广大单独招生考试学生，详解介绍河北省单独招生考试院校招生情况、报名人数、学费、学制、就业、分数查询、录取查询等详细情况。...
华北科技学院,/Html/site_ncist.edu.cn.html,192947,75,网站简介：华北科技学院隶属国家安全生产监督管理总局，其前身是原国家煤炭工业部 1984 年投资兴建的北京煤炭管理干部学院分院； 1993 年改制为华北矿业高等专科学校，面向全国招生；...
学而思培优,/Html/site_speiyou.com.html,37645,575,网站简介：中国领先的培优辅导品牌...
宁波工程学院,/Html/site_nbut.edu.cn.html,161327,86,网站简介：宁波工程学院是由宁波市政府举办的全日制普通本科院校，创建于1983年。学校以工科为主，文、理、经、管多学科协调发展。...
91考试网,/Html/site_91exam.org.html,314079,20,网站简介：91考试网 提供公务员，外语类，财会类，建筑类，职业资格，学历考试，医药类，外贸类，计算机类，事业单位招聘，教师招聘等考试的报名时间、考试时间、考试大纲、成绩查询等...
建筑学院,/Html/site_archcollege.com.html,129584,43,网站简介：建筑学院...
聊城大学,/Html/site_lcu.edu.cn.html,292244,202,网站简介：聊城大学是山东省属综合性大学，坐落在国家级历史文化名城——山东省聊城市。1970年山东师范学院迁至聊城办学，1974年山东师范学院聊城分院建立，1981年经国务院批准更名为...
科学松鼠会,/Html/site_songshuhui.net.html,2793598,761,网站简介：科学松鼠会是一个汇聚了当代优秀的华语青年科学传播者的非营利机构，旨在“剥开科学的坚果，帮助人们领略科学之美妙”。...
CGJOY论坛,/Html/site_cgjoy.com.html,45242,96,网站简介：cgjoy专注于游戏特效和游戏动画交流的cg网站，提培养与招聘游戏动画师、游戏特效师、游戏ui设计师服务。提供下载游戏动画教程、游戏特效教程、游戏ui教程、游戏原画教程、3...
云南教育网,/Html/site_ynjy.cn.html,247884,735,网站简介：云南教育网，云南省教育厅，云南招考网，云南招考频道，云南出国留学，云南公派留学，云南教育。...
四川传媒学院,/Html/site_cdysxy.com.html,6605269,71,网站简介：四川传媒学院（原成都理工大学广播影视学院）创建于1997年。面向文化产业发展，十余年砥砺奋进，学院取得了令人瞩目的跨越式发展，已为传媒及相关产业输送了近2万名高素质的...
北京林业大学,/site_www.bjfu.edu.cn.html,48542,331,网站简介：北京林业大学（Beijing Forestry University）简称北林，位列国家“211工程”，入选“985工程优势学科创新平台”、“卓越农林人才教育培养计划”、“2011计划”，北京高科大...
首都经济贸易大学,/Html/site_cueb.edu.cn.html,130859,213,网站简介：首都经济贸易大学（Capital University of Economics and Business）简称“首都经贸”，坐落于中国北京，是一所拥有经济学、管理学、法学、文学、理学和工学等六大学科，以...
中国药科大学,/site_www.cpu.edu.cn.html,28139,132,网站简介：中国药科大学（China Pharmaceutical University）是中华人民共和国教育部直属的一所以药学为特色的全国重点大学，是国家“211工程”、“985工程优势学科创新平台”重点建设...
安徽科技学院,/Html/site_ahstu.edu.cn.html,200184,43,网站简介：安徽科技学院始建于1950年，1965年开始举办本科教育。现为教育部本科教学工作水平评估优秀高校。...
家庭医生在线疾病咨询,/site_ask.familydoctor.com.cn.html,--,11,网站简介：家庭医生在线即问即答提供免费的医生问答，已经帮助千万网友解答了疑惑。提供专业权威的健康咨询服务，涵盖内科、外科、妇科、男科、儿科等各个科室的各种疾病咨询问答知识...
四川美术学院,/Html/site_scfai.edu.cn.html,384746,480,网站简介：四川美术学院（Sichuan Fine Arts Institute）坐落于中国美丽的山水都市—中央直辖市重庆，是中国独立建制的31所普通高等艺术院校之一，是中国八大美院之一。1940年，李有行...
大连交通大学,/Html/site_djtu.edu.cn.html,496237,49,网站简介：大连交通大学创建于1956年，时为大连机车车辆制造学校；1958年升格为大连铁道学院，隶属原铁道部管理；2000年2月划转为辽宁省政府管理，实施“中央与地方共建，以地方管理为...
华北水利水电大学,/Html/site_ncwu.edu.cn.html,176856,116,网站简介：华北水利水电大学坐落在中华民族的母亲河——黄河之滨的郑州市，是水利部与河南省共建、以河南省管理为主的高校，是河南省重点支持建设的骨干高校。...
东北农业大学,/site_www.neau.edu.cn.html,53536,91,网站简介：东北农业大学（Northeast Agricultural University）位于黑龙江省哈尔滨市，是一所以农科为优势，以生命科学和食品科学为特色，农、工、理、经、管等多学科协调发展的国家首...
中国军网,/Html/site_chinamil.com.cn.html,184858,4137,网站简介：中国军网是经中央军委批准的中国人民解放军唯一新闻门户网站，第一时间向全球网民发布权威军事资讯，追踪军事热点，反映军事动态，介绍国内外新武器发展动态，拥有中国大的...
仁和会计教育,/Html/site_whrhkj.com.html,981112,104,"网站简介：★仁和会计教育会计培训实训专家,专注会计培训,开设会计从业资格证培训,会计证年检,零基础会计培训,会计证培训,会计实战培训班,初级会计职称培训以及中级会计职称培训,会计..."
智课网,/Html/site_smartstudy.com.html,378512,92,"网站简介：智课网smartstudy.com-专业的在线教育平台,高品质的名师课程帮助学生在托福,雅思,sat,gre,gmat,考研,四级,六级等考试中取得好成绩,成就出国留学,考研升学梦想...."
泰祺教育集团,/Html/site_tqedu.net.html,1602812,132,网站简介：泰祺mba，提供专业的mba培训，mba辅导班，mba考试条件，在职研究生报考条件，mba提前面试，mba考试科目，mpacc培训等，是规模较大的mba培训学校，mba学费低，效果好！...
江西师范大学,/site_www.jxnu.edu.cn.html,18404,149,网站简介： 江西师范大学是教育部、江西省人民政府共建高校和中西部高校基础能力建设工程高校。...
VOA英语学习网,/Html/site_chinavoa.com.html,153070,1152,网站简介：ChinaVOA.com是适合中国人的voa英语学习网，慢速英语、常速英语及时更新，支持VOA在线收听，支持VOA听力下载。各种VOA教学节目让您轻松学习纯正英语。...
哈尔滨理工大学,/Html/site_hrbust.edu.cn.html,133968,114,网站简介：...
河南工业大学,/site_www.haut.edu.cn.html,48261,84,网站简介： 河南工业大学（Henan University of Technology）位于河南省会郑州市，是河南省重点建设高校。...
中央美术学院,/site_www.cafa.edu.cn.html,280836,1152,网站简介：中央美术学院是中华人民共和国教育部直属的唯一一所高等美术学校，于1950年4月由国立北平艺术专科学校与华北大学三部美术系合并成立，毛泽东为学院题名。北平艺术专科学校的...
安徽工程大学,/Html/site_ahpu.edu.cn.html,39492,41,网站简介：安徽工程大学...
重庆邮电大学移通学院,/Html/site_cqyti.com.html,378378,21,网站简介：重庆邮电大学移通学院成立于2000年，是经教育部批准（教发函[2004]41号），由重庆邮电大学举办的独立学院，属全日制普通本科院校，面向全国招生。...
原版英语学习网,/Html/site_en8848.com.cn.html,7056620,204,"网站简介：『小e英语』 原名原版英语学习网是中国著名英语学习网站,是目前中国大的原版英语小说及英语学习资源,网站提供大量的免费英语翻译学习英语文档，包括了新概念英语，英语口语..."
山东中医药大学,/Html/site_sdutcm.edu.cn.html,80170,521,网站简介：山东中医药大学创建于1958年，1978年被确定为全国重点建设的中医院校，1981年成为山东省重点高校，1996年经原国家教委批准更名为山东中医药大学，是教育部本科教学工作水平...
跟谁学,/Html/site_genshuixue.com.html,48406,1289,网站简介：跟谁学（www.genshuixue.com）创立于2014年6月，是一家专注于学习服务的创新科技企业，主要由来自知名教育机构的领军人物和百度、阿里、新浪、搜狐等著名互联网公司的顶尖人...
中北大学,/site_www.nuc.edu.cn.html,38774,77,网站简介：中北大学是一所由山西省人民政府与国家国防科技工业局共建、山西省人民政府管理的多科性教学研究型大学。学校的前身是1941年八路军总司令部在太行抗日根据地创办的我党我军...
平顶山学院,/Html/site_pdsu.edu.cn.html,177442,114,网站简介：平顶山学院（PingDingShan University）创建于1977年，是一所综合性全日制普通高等院校，位于中国重要能源和原材料工业基地、中国优秀旅游城市、国家园林城市、国家森林城市...
课工场,/site_www.kgc.cn.html,6837011,133,"网站简介：课工场kgc.cn在线教育是专注于企业人才培养的互联网教育平台,提供html5前端,互联网uiue设计,java大数据开发,云计算等互联网技术的it培训教程,并通过遍及全国的it教育线下服..."
中华励志网,/Html/site_zhlzw.com.html,411782,110,"网站简介：传递正能量,共筑中国梦,丰富思想文化学习资源网站,融思想性,实用性为一体,集心灵励志,人生智慧,生活幸福,事业成功等文章,书籍,范文,论文,作文,课件等海量资源。..."
中国NLP学院,/Html/site_nlp.cn.html,719933,160,网站简介：中国NLP学院（www.nlp.cn）是中国心理学第一门户网站，包括NLP心理学、NLP教练技术心理学、催眠心理学、萨提亚心理学、沙盘疗法等都有专门频道深入介绍。...
大连工业大学,/Html/site_dlpu.edu.cn.html,258332,125,网站简介：大连工业大学创建于1958年，是一所以工为主，工、理、艺、文、管、经六大学科门类协调发展，以培养轻工、纺织、食品、艺术等专业人才为办学特色的高等学府。...
浙江财经大学教务处,/Html/site_jwc.zufe.edu.cn.html,41473,0,网站简介：浙江财经大学教务处是在校长和分管教学副校长领导下的负责全校全日制本科教学管理的职能部门，包括日常教务管理、教学建设、教学改革、实践教学、教学质量监控和评估、教师...
浙江海洋学院,/site_www.zjou.edu.cn.html,380248,77,网站简介：浙江海洋学院是一所以海洋为特色，理学、农学、工学、文学、经济学、管理学等多学科协调发展的省属本科高校。学校位于浙江省舟山市，国家首批卓越农林人才教育培养计划改革...
当当图书,/site_book.dangdang.com.html,1165,346,"网站简介：当当网图书频道-全球大中文网上书店,专业提供小说传记,青春文学,成功励志,投资理财等各品类图书畅销榜新报价、促销、评论信息,引领新网上购书体验!..."
福音时报,/Html/site_gospeltimes.cn.html,663870,51,网站简介：中国基督教资讯门户网站，提供基督教新信息。网站内容涵盖教会、事工、神学、家庭、文化、商业等各个领域。网站以圣经真理为基础，明辨福音，传扬基督教文化。...
教育人生网,/Html/site_edulife.com.cn.html,1279080,769,"网站简介：教育人生网-中国教育服务门户网站。为考生提供全面的培训求学招生考试信息,丰富的学习备考资料,齐全的培训辅导课程,活跃的教育考试论坛。..."
5000言,/Html/site_5000yan.com.html,52577,0,网站简介：5000言集合了大众所熟知的经典国学，并给予翻译和解读。网站旨在传播国学经典文化，让大家都能爱上璀璨的华夏文明。...
新学网 ,/Html/site_newxue.com.html,803728,8,"网站简介：中小学教育,学生辅导,教师备课,网上教育网站..."
中国电信网上大学,/Html/site_myctu.cn.html,595683,19,网站简介：...
广东金融学院,/Html/site_gduf.edu.cn.html,185758,108,网站简介：...
淘知网,/Html/site_taozhi.cn.html,128056,5,网站简介：淘知学堂是金星教育集团旗下网站，为《小学教材全解》《小学教材全练》《中学学教材全解》等读者提供增值服务。主要资源有：语文动漫、数学工具、电子书、教案、课件、试题...
高顿财经,/Html/site_gaodun.cn.html,94357,901,网站简介：高顿财经，专业致力于财经教育，提供终身财经教育。高顿财经矢志于“建立国际化财经培训基地，培养世界级财务金融精英”。...
四川人事考试网,/Html/site_151rs.com.html,636669,110,"网站简介：151四川考试网专为社会人员,应届高校毕业生提供全新的四川人事考试,四川卫生人才网服务,覆盖成都人事考试网,自贡,泸州,南充,宜宾等共21个地区的公务员考试,事业单位招聘等人..."
上海商学院,/Html/site_sbs.edu.cn.html,62839,46,网站简介：上海商学院（Shanghai Business School）是市属公办本科普通高校，前身为1950年建校的中央税务学校华东分校。是一所以商科专业为特色的上海市属公办本科普通高校。...
深圳职业技术学院,/site_www.szpt.edu.cn.html,190052,98,网站简介：　深圳职业技术学院1993年创建，是国内早独立举办高等职业技术教育的院校之一。建校以来，学校依托珠三角产业发展，秉承深圳特区改革创新精神，坚持把立德树人作为学校教育...
博宝艺术网,/Html/site_artxun.com.html,2140093,11462,网站简介：博宝艺术网是国内早、为专业的艺术品交易、在线拍卖、艺术媒体推广服务平台。平台服务于国内外千万藏家及数十万艺术家，在行业内取得了斐然的成绩。...
贵州大学,/site_www.gzu.edu.cn.html,43756,162,网站简介：贵州大学创建于1902年，历经贵州大学堂、省立贵州大学、国立贵州农工学院、国立贵州大学等时期，1950年10月定名为贵州大学。1997年8月，与贵州农学院等院校合并。2004年8月...
环球雅思集团官方网站,/Html/site_gedu.org.html,263331,3975,"网站简介：环球雅思培训学校致力于提供专业的英语培训服务,本着因材施教,为学员服务的理念,针对不同学员的自身情况,量身打造学习方案及留学规划,真正实现前期规划学习路线,中期保障教..."
帮你收集网,/Html/site_bangnishouji.com.html,5372653,42,网站简介：帮我收集网-一个专注于帮你收集各类学习参考资料的网站！方便学生，老师及学者查阅。...
中国在职研究生教育信息网,/Html/site_eduei.com.html,119517,936,网站简介：中国在职研究生教育信息网提供免费的在职研究生招生信息、以及准确的在职研究生、在职博士、emba等类别的报考条件、招生简章、报考时间、报名入口、报名网站、招生专业等在...
豆瓣阅读,/site_read.douban.com.html,51,43,"网站简介：豆瓣阅读是优秀数字作品的阅读、出版平台，提供个人作者原创作品和出版社精品电子书，支持Web, iPhone, iPad, Android 多设备的同步阅读，支持批注、划线、分享、讨论。..."
澳门大学,/Html/site_umac.mo.html,372240,125,网站简介：澳门大学是一所国际性的公立大学，也是澳门第一所现代大学。于1981年成立，前身为私立东亚大学，经过20多年的发展，已成为澳门具规模，具有公允口碑的尖端学府。 ...
邢台学院,/Html/site_xttc.edu.cn.html,439919,33,网站简介：邢台学院始建于1910年，是一所具有一百多年办学历史的多科性地方本科高校。学校现设有18个院系部，41个本科专业，涵盖文、理、工、经、法、管、史、教、艺术八大学科门类。...
翼课网,/Html/site_ekwing.com.html,1020334,6,"网站简介：翼课网,中小学英语基于教学考的听说读写测全面解决方案,提供智能口语纠错，外教真人示范,教材课堂同步,个性化教学考纠诊,绿色安全上网,家校互通伴学,让学生开心，家长放心，..."
重庆大学网络教育学院,/Html/site_5any.com.html,81098,62,网站简介：重庆大学于2000年经教育部批准开展现代远程教育试点工作，2001年2月成立网络教育学院并开始招生。学院依托重庆大学雄厚的办学实力和丰富的优秀教学资源，以培养社会急需的应...
中国教育出版网,/Html/site_zzstep.com.html,138096,227,网站简介：中国教育出版网(www.zzstep.com)是由中原出版传媒集团领导，河南电子音像出版社有限公司倾力打造，服务于教育管理、教学研究和优质教育资源共享的综合性教育信息化应用平台...
中国免费论文网,/Html/site_lunwendata.com.html,116182,6,网站简介：中国免费论文网包含免费论文、毕业论文、经济学、管理学、会计、法学、理学、医学、政治、社会学、教育、计算机、哲学、英语等各学科论文下载。提供专业的毕业论文指导、论...
皖南医学院,/Html/site_wnmc.edu.cn.html,300375,51,网站简介：皖南医学院地处素有“长江巨埠、皖之中坚”之称的历史名城——芜湖市，濒临浩瀚长江，汇集江南神秀。学校建于1958年，时为芜湖医学专科学校；1971年并入安徽医学院，为安徽...
安徽理工大学,/Html/site_aust.edu.cn.html,61752,99,网站简介：安徽理工大学是安徽省重点建设的特色高水平大学，是国家“中西部高等教育振兴计划”—中西部高校基础能力建设工程支持建设的高校，是安徽省和国家安全生产监督管理总局共建...
沪江网校,/site_class.hujiang.com.html,3429,90,网站简介：沪江网校开设英语、日语、法语、韩语、泰语、德语、西班牙语和汉语等网校课程，内容横跨升学应试、海外留学、工作商务等。来沪江学外语，更有趣、更有效、更实惠。...
数学学科网,/site_sx.zxxk.com.html,1427,70,"网站简介：数学学科网高中频道为您提供高中数学优质备课资料下载,包括：试题试卷、课件、教案、教学素材等。数学学科网,老师备课教学、学生备考复习优选数学教育资源网。..."
金锄头网,/site_www.jinchutou.com.html,36041,0,网站简介：金锄头文库又名金锄头网（www.jinchutou.com）由四川金锄头信息产业公司与多家医疗机构、院校、金融以及图书档案馆进行合作打造的基于互联网电子文档资源在线分享和交易的平...
厦门理工学院,/Html/site_xmut.edu.cn.html,279657,103,网站简介：厦门理工学院 创立于1981年，位于中国东南海滨城市厦门，是福建省属公立本科大学，福建省重点建设高校。前身鹭江职业大学是福建省早的全日制职业技术大学。2003年筹建升本并...
重庆市教育考试院,/Html/site_cqksy.cn.html,157277,150,网站简介：重庆市教育考试院门户网站...
北京化工大学教务处,/Html/site_jiaowuchu.buct.edu.cn.html,24858,0,网站简介：北京化工大学教务处官方网站。...
深圳图书馆,/Html/site_szlib.org.cn.html,20914,26,网站简介：深圳图书馆的前身是宝安县图书馆。深圳图书馆新馆是深圳市政府投资兴建的大型现代文化设施，位于深圳市行政文化中心区内风景秀美的莲花山前。新馆占地29612平方米，总建筑面...
重庆电子工程职业学院,/Html/site_cqcet.edu.cn.html,101902,3,网站简介：重庆电子工程职业学院是由重庆市政府举办、重庆市教委主管、市教委与市经信委共建的全日制普通高等院校。是教育部、财政部重点建设的100所国家示范性高等职业院校之一，是中...
LILY英语校内网 ,/site_edu.lilyenglish.com.html,1241088,5,"网站简介：LILY英语是专注于6-12岁少儿英语教育的机构,成立十年以来，已经培养出近万名能够用英语去感知、去表达的学生。在这里，小学生经过四年到五年的业余学习，便可使英语成为他们..."
译云,/site_www.yeecloud.com.html,743261,4,网站简介：中译语通科技（北京）有限公司 是中国对外翻译出版有限公司（经国务院批准成立的国家级翻译出版机构）的控股子公司，致力于以先进大数据技术和互联网为用户提供更全面、更便...
景德镇陶瓷大学,/Html/site_jci.edu.cn.html,287325,145,网站简介：景德镇陶瓷大学(www.jci.edu.cn)是中国惟一一所多科性陶瓷本科高等学府，校名由郭沫若同志题写，是全国首批31所具有自主招收艺术类本科生和94所有资格招收享受中国政府奖学...
辽宁省教育网,/Html/site_lnen.cn.html,87093,580,网站简介：辽宁省教育厅官方网站...
育星教育网 ,/Html/site_ht88.com.html,806543,58,网站简介：育星教育网由原来的中学语文资源站发展而来，2003年建站，已发展成为一个资源丰富、更新迅速、服务优质、运作诚信的大型专业中学站点，提供全面的中学各科教案、课件、试卷...
法律教育网,/Html/site_chinalawedu.com.html,824400,2370,网站简介：法律教育网是正保旗下超大型国家司法考试网上辅导网站，常年开展国家司法考试、法律顾问考试等远程培训，顶级国家司法考试专家和律师视频授课、超高通过率。另有法律实务讲...
南京工业职业技术学院,/Html/site_niit.edu.cn.html,56356,216,网站简介：南京工业职业技术学院简称'南工院'，是一所全日制公办普通高校，学校是全国就业典型经验50强高校，全国职业院校就业竞争力示范校30强高校，“国家示范性高等职业院校建设计...
上海交通大学研究生院,/site_www.gs.sjtu.edu.cn.html,785,0,网站简介：上海交通大学研究生院，网站主要内容：研究生招生、培养、学位、国际化以及日常工作通知公告；研究生教育新闻动态；研究生培养、学籍管理操作、学位信息申请；研究生教育相...
河南工程学院,/Html/site_haue.edu.cn.html,233800,31,网站简介： 河南工程学院是2007年3月经教育部、河南省人民政府批准设立，由原郑州经济管理干部学院和原河南纺织高等专科学校合并组建的省属普通本科院校。...
国学网,/Html/site_guoxue.com.html,112938,1038,网站简介：国学网（www.guoxue.com），北京国学时代文化传播股份有限公司旗下站点。...
华夏大地教育网,/Html/site_edu-edu.com.cn.html,143506,304,"网站简介：华夏大地教育网(www.edu-edu.com.cn)提供自考、会计、英语四六级、公共英语等级考试、计算机等级考试等项目的网上辅导,为学员提供网络课程、考试资讯、学习论坛、免费资料下..."
海天考研网,/Html/site_htkaoyan.com.html,508625,124,"网站简介：海天考研网—中国考研辅导责任品牌,海天教育旗下考研官方网站。海天考研网提供考研英语、考研数学、考研政治、考研专业课等考研辅导培训班,以及考研报名、考研成绩查询、考..."
中国美术馆,/Html/site_namoc.org.html,286687,746,网站简介：中国美术馆官方网站（www.namoc.org）中国美术馆是以收藏、研究、展示中国近现代艺术作品为重点的国家造型艺术博物馆。...
哈尔滨师范大学,/Html/site_hrbnu.edu.cn.html,233238,169,"网站简介：哈尔滨师范大学网站由100工作室设计制作。哈尔滨师范大学是黑龙江省唯一的一所科类比较齐全的师范大学,是省属重点大学,是黑龙江省高等师范教育、高等艺术教育、教育科学研究..."
南阳理工学院官,/Html/site_nyist.net.html,718109,149,网站简介：南阳理工（Nanyang Institute of Technology）是一所经教育部批准的全日制普通本科院校，坐落于中国历史文化名城——南阳市。学校前身是1987年创办的南阳大学；1993年由国家...
湖北省图书馆,/Html/site_library.hb.cn.html,235793,76,网站简介：湖北省图书馆始建于1904年，由张之洞创办，是我国早建立的省级公共图书馆。旧馆坐落在武昌蛇山南麓，馆舍面积近3万平方米，馆藏总量达400多万册（件），其中古籍善本45万余...
互动百科,/Html/site_baike.com.html,13555,24590,"网站简介：客观、专业、权威！互动百科是基于中文维基技术(维客,wiki百科)的网络百科全书,是全球知名中文百科网及百科全书。互动百科中文网,助您轻松百科探秘..."
湖南理工学院,/Html/site_hnist.cn.html,389757,59,网站简介：湖南理工学院是一所省属普通本科高校，是经国务院学位委员会批准的硕士学位授予单位。学校座落在岳阳市南湖风景区，自然环境优美，人文底蕴深厚。...
江苏财经信息网,/Html/site_jscj.com.html,549535,131,"网站简介：江苏财经信息网-江苏财经会计网校是国内大型的会计远程教育网站，常年从事会计职称考试培训,初级会计职称,中级会计职称,注册会计师,注册税务师,注册资产评估师,高级会计师,..."
临沂大学,/Html/site_lyu.edu.cn.html,240955,94,网站简介：临沂大学是国家设立、山东省政府直属管理的综合性大学，“山东省特色名校工程”重点建设大学。...
优志愿,/Html/site_youzy.cn.html,156643,15,"网站简介：优志愿高考志愿填报服务平台,提供高考志愿填报指南、院校智能推荐、志愿模拟填报、高考志愿讲堂、高考志愿专家一对一、高考资讯、问答、社区等学习服务,帮助考生用经济的分..."
长安大学就业信息网,/Html/site_jyzx.chd.edu.cn.html,20089,8,网站简介：...
中国医学科学院,/site_www.pumc.edu.cn.html,51891,72,网站简介：中国医学科学院 &amp;amp;amp; 北京协和医学院官网...
海南医学院,/Html/site_hainmc.edu.cn.html,356295,94,网站简介：海南医学院1993年经教育部（原国家教委）批准成立，隶属海南省人民政府主管，是海南省惟一的一所省属公办普通高等医学院校。学校前身是私立海强医事技术学校（1947年创建）...
新乡医学院,/Html/site_xxmu.edu.cn.html,233284,57,网站简介：新乡医学院（Xinxiang Medical University）位于太行山麓、黄河之滨的牧野名城新乡市，是河南省属普通本科院校，也是河南省唯一一所独立建制的西医本科院校，教育部卓越医生...
中国劳动关系学院,/Html/site_culr.edu.cn.html,1673219,202,网站简介：中国劳动关系学院为中华全国总工会所属的普通高等学校。...
齐齐哈尔大学,/Html/site_qqhru.edu.cn.html,305384,109,网站简介：齐齐哈尔大学始建于1952年，是黑龙江省西部地区唯一一所省属综合性普通高等学校。坐落在黑龙江省齐齐哈尔市劳动湖畔。...
中国教师研修网,/Html/site_teacherclub.com.cn.html,766350,585,网站简介：中国教师研修网由全国教师教育学会主办，在教育部十五规划重点课题“基于现代信息技术环境下的校本研修的理论与实践”的探索中应运而生，为全国中小学教师搭建研训一体的专...
华东政法大学,/Html/site_ecupl.edu.cn.html,384391,329,网站简介：华东政法大学（East China University of Political Science and Law），简称华政，位于中国的金融中心上海，入选中国首批“卓越法律人才教育培养计划”，为新中国创办的第...
青岛农业大学,/Html/site_qau.edu.cn.html,4301356,190,网站简介：青岛农业大学始建于1951年，历经莱阳农业学校、莱阳农学院、莱阳农业大学、恢复莱阳农学院等变迁。2000年开始创建青岛校区，办学主体移至青岛，2007年3月经教育部批准更名为...
新东方高考招生网,/site_gaokao.xdf.cn.html,3801,242,网站简介：新东方网高考招生网为您精心提供2015年高考新政策、2015高考试题、2015高考录取分数线、高考成绩查询、高考饮食及备考复习、高考志愿填报及热门专业代码，依托于优能中学名...
上海财经大学,/site_www.shufe.edu.cn.html,25758,453,网站简介：【愿景】基于卓越的研究和教学，成为国际知名具有鲜明财经特色的高水平研究型大学。【理念】面向社会、求真务实、立德树人、经世济国。...
广东财经大学,/site_www.gdufe.edu.cn.html,69850,40,网站简介：广东财经大学（Guangdong University of Finance & Economics），1983年建立，原名广东财经学院，1985年改名为广东商学院，2013年6月19日，经教育部批准，广东商学院更名为...
故事中国,/Html/site_storychina.cn.html,5397584,345,网站简介：故事会，《故事会》主办，故事中国，故事会，故事会萃：幽默笑话，幽默故事，民间故事，传奇故事，百姓故事，人气写手，情感故事，爱情故事，言情故事，惊险故事，哲理故事...
厦门大学嘉庚学院教学文件系统,/Html/site_teach.xujc.com.html,201199,5,网站简介：厦门大学嘉庚学院教学文件系统...
沈阳音乐学院,/site_www.sycm.com.cn.html,5659448,186,网站简介：沈阳音乐学院在中国具有悠久历史的专业音乐学院，也是东北地区好的高等音乐学府。...
卓克艺术网,/Html/site_zhuokearts.com.html,158170,276,网站简介：卓克艺术网是中国大的艺术品收藏投资者之间的交易交流平台。服务于中国及全球华人艺术品、艺术家、艺术机构及艺术社群是著名的大型艺术类门户网。服务热线：0551-65181275...
湖北招生考试网,/Html/site_edu-hb.com.html,162216,2055,网站简介：湖北省招生考试教育门户，提供省内外教育资讯、教育资源。官方合作发布高考等成绩查询。...
成都大学,/site_www.cdu.edu.cn.html,35267,39,网站简介：成都学院（成都大学）（Chengdu University），简称成大，是成都市人民政府主办的唯一一所全日制普通本科院校，实行“省市共建、以市为主”办学体制的综合大学。学校始建于...
课后网,/Html/site_kehou.com.html,251203,120,网站简介：课后网是集培训课程分类信息展示、网上课堂、SNS、电子商务为一体的综合性远程教育培训发布平台，为您提供免费发布课程、远程教育培训、网络在线培训、培训招生报名、培训心...
军事前沿,/Html/site_qianyan001.com.html,1889117,22927,"网站简介：环球大军情是中国权威的军事门户网站之一,提供中国军事新闻，世界军事新闻还有网友对中国军事的新爆料。..."
广东省肇庆学院,/Html/site_zqu.edu.cn.html,277786,67,网站简介：肇庆学院是在原西江大学和原肇庆教育学院的基础上发展而来的。原西江大学的前身是肇庆地区师范学校，由广东教育行政学院于1970年下放到肇庆地区新兴县办学而得名。1977年，...
五邑大学,/Html/site_wyu.edu.cn.html,325951,102,网站简介：五邑大学在培养高素质创新型人才、取得突破性科研进展，以及为国民经济发展和社会进步提供智力支持等方面都发挥着极其重要的作用。...
中公广东人事网,/site_gd.offcn.com.html,1752,201,"网站简介：【广东中公-专业公务员培训机构】提供广东人事考试网和公职类考试招聘信息，包括2019广东省公务员考试、国考、事业单位、教师招聘考试公告,报名时间,入口、职位表下载、笔试..."
南京教育信息网,/Html/site_nje.cn.html,199984,629,网站简介：南京市教育局...
